code,system
16L..00,readv2
H27..00,readv2
H27z.00,readv2
H29..00,readv2
1J72.00,readv2
H2A..,readv2
H0...00,readv2
H00..12,readv2
H00..14,readv2
H00..16,readv2
H051.00,readv2
H0z..00,readv2
Hyu0.00,readv2
H00..00,readv2
H023z00,readv2
H02z.00,readv2
H04..00,readv2
H040.00,readv2
H040z00,readv2
H04z.00,readv2
H050.00,readv2
H271000,readv2
H271100,readv2
H00..11,readv2
H00..13,readv2
H00..15,readv2
H054.00,readv2
H05z.00,readv2
H05z.11,readv2
H5yy.11,readv2
H024.00,readv2
H040w00,readv2
H05z.12,readv2
H03..00,readv2
H03..11,readv2
H036.00,readv2
H03z.00,readv2
H041.00,readv2
H041z00,readv2
H042.00,readv2
H042.11,readv2
H042z00,readv2
H052.00,readv2
H041000,readv2
H041100,readv2
H042000,readv2
H042100,readv2
H05..00,readv2
H055.00,readv2
H05y.00,readv2
Hyu0300,readv2
H06z111,readv2
H271.00,readv2
H271z00,readv2
H27yz00,readv2
H27z.11,readv2
H27z.12,readv2